Department,Average Salary
DoIT,93209.93939393939
BUILDINGS,90720.08132231404
FIRE,89579.08262101036
MAYOR'S OFFICE,85251.9490909091
BUDGET & MGMT,84767.18181818182
HUMAN RELATIONS,84548.66666666667
IPRA,82425.03529411765
COMMUNITY DEVELOPMENT,82293.34106280193
BOARD OF ETHICS,81650.66666666667
WATER MGMNT,81263.47119009154
GENERAL SERVICES,80783.81200438117
INSPECTOR GEN,80703.0
TRANSPORTN,80453.3019520548
POLICE BOARD,79068.0
TREASURER,78956.84
PROCUREMENT,78144.05633802817
CULTURAL AFFAIRS,78036.81012658228
HEALTH,77181.37137870854
POLICE,75671.93249651325
DISABILITIES,74664.68965517242
BUSINESS AFFAIRS,71897.64640883978
HUMAN RESOURCES,71337.17647058824
LAW,70853.156
AVIATION,70638.24912972085
ADMIN HEARNG,70336.85714285714
STREETS & SAN,69856.6631884058
FINANCE,69250.2423076923
LICENSE APPL COMM,65436.0
CITY CLERK,64489.63953488372
CITY COUNCIL,58029.671851851854
ANIMAL CONTRL,57121.45573770491
BOARD OF ELECTION,55728.87272727273
PUBLIC LIBRARY,53035.9222462203
OEMC,50573.05712074303
FAMILY & SUPPORT,38667.50921595598
